Min_age,Max_age,Gender,Time,Min_year,Max_year
 18 , 34 ,M,190,2001,2002
 35 , 39 ,M,195,2001,2002
 40 , 44 ,M,200,2001,2002
 45 , 49 ,M,205,2001,2002
 50 , 54 ,M,210,2001,2002
 55 , 59 ,M,215,2001,2002
 60 , 64 ,M,220,2001,2002
 65 , 69 ,M,225,2001,2002
 70 , 150 ,M,230,2001,2002
 18 , 34 ,F,220,2001,2002
 35 , 39 ,F,225,2001,2002
 40 , 44 ,F,230,2001,2002
 45 , 49 ,F,235,2001,2002
 50 , 54 ,F,240,2001,2002
 55 , 59 ,F,245,2001,2002
 60 , 64 ,F,250,2001,2002
 65 , 69 ,F,255,2001,2002
 70 , 150 ,F,260,2001,2002
 18 , 34 ,M,190,2003,2012
 35 , 39 ,M,195,2003,2012
 40 , 44 ,M,200,2003,2012
 45 , 49 ,M,210,2003,2012
 50 , 54 ,M,215,2003,2012
 55 , 59 ,M,225,2003,2012
 60 , 64 ,M,240,2003,2012
 65 , 69 ,M,255,2003,2012
 70 , 74 ,M,270,2003,2012
 75 , 79 ,M,285,2003,2012
 80 , 120 ,M,300,2003,2012
 18 , 34 ,F,220,2003,2012
 35 , 39 ,F,225,2003,2012
 40 , 44 ,F,230,2003,2012
 45 , 49 ,F,240,2003,2012
 50 , 54 ,F,245,2003,2012
 55 , 59 ,F,255,2003,2012
 60 , 64 ,F,270,2003,2012
 65 , 69 ,F,285,2003,2012
 70 , 74 ,F,300,2003,2012
 75 , 79 ,F,315,2003,2012
 80 , 120 ,F,330,2003,2012
18,34,M,185,2013,2014
35,39,M,190,2013,2014
40,44,M,195,2013,2014
45,49,M,205,2013,2014
50,54,M,210,2013,2014
55,59,M,220,2013,2014
60,64,M,235,2013,2014
65,69,M,250,2013,2014
70,74,M,265,2013,2014
75,79,M,280,2013,2014
80,120,M,295,2013,2014
18,34,F,215,2013,2014
35,39,F,220,2013,2014
40,44,F,225,2013,2014
45,49,F,235,2013,2014
50,54,F,240,2013,2014
55,59,F,250,2013,2014
60,64,F,265,2013,2014
65,69,F,280,2013,2014
70,74,F,295,2013,2014
75,79,F,310,2013,2014
80,120,F,325,2013,2014
